"station","variable","date","value"
"BR","flow_cms",2000-04-21,1.019406492
"WM","flow_cms",2000-04-21,1.39073191268759
"BR","flow_cms",2000-04-22,0.679604328
"WM","flow_cms",2000-04-22,0.92715460845839
"BR","flow_cms",2000-04-23,0.538020093
"WM","flow_cms",2000-04-23,0.733997398362892
"BR","flow_cms",2000-04-24,0.396435858
"WM","flow_cms",2000-04-24,0.540840188267394
"BR","flow_cms",2000-04-25,0.311485317
"WM","flow_cms",2000-04-25,0.424945862210096
"BR","flow_cms",2000-04-26,0.2378615148
"WM","flow_cms",2000-04-26,0.324504112960437
"BR","flow_cms",2000-04-27,0.2067129831
"WM","flow_cms",2000-04-27,0.282009526739427
"BR","flow_cms",2000-04-28,0.1812278208
"WM","flow_cms",2000-04-28,0.247241228922237
"BR","flow_cms",2000-04-29,0.1614060279
"WM","flow_cms",2000-04-29,0.220199219508868
"BR","flow_cms",2000-04-30,0.1359208656
"WM","flow_cms",2000-04-30,0.185430921691678
"BR","flow_cms",2000-05-01,0.707921175
"WM","flow_cms",2000-05-01,0.96578605047749
"BR","flow_cms",2000-05-02,2.803367853
"WM","flow_cms",2000-05-02,3.82451275989086
"BR","flow_cms",2000-05-03,0.736238022
"WM","flow_cms",2000-05-03,1.00441749249659
"BR","flow_cms",2000-05-04,0.481386399
"WM","flow_cms",2000-05-04,0.656734514324693
"BR","flow_cms",2000-05-05,0.453069552
"WM","flow_cms",2000-05-05,0.618103072305593
"BR","flow_cms",2000-05-06,0.311485317
"WM","flow_cms",2000-05-06,0.424945862210096
"BR","flow_cms",2000-05-07,0.2378615148
"WM","flow_cms",2000-05-07,0.324504112960437
"BR","flow_cms",2000-05-08,0.1897228749
"WM","flow_cms",2000-05-08,0.258830661527967
"BR","flow_cms",2000-05-09,0.1529109738
"WM","flow_cms",2000-05-09,0.208609786903138
"BR","flow_cms",2000-05-10,0.707921175
"WM","flow_cms",2000-05-10,0.96578605047749
"BR","flow_cms",2000-05-11,0.481386399
"WM","flow_cms",2000-05-11,0.656734514324693
"BR","flow_cms",2000-05-12,0.311485317
"WM","flow_cms",2000-05-12,0.424945862210096
"BR","flow_cms",2000-05-13,0.2152080372
"WM","flow_cms",2000-05-13,0.293598959345157
"BR","flow_cms",2000-05-14,0.141584235
"WM","flow_cms",2000-05-14,0.193157210095498
"BR","flow_cms",2000-05-15,0.1104357033
"WM","flow_cms",2000-05-15,0.150662623874488
"BR","flow_cms",2000-05-16,0.0991089645
"WM","flow_cms",2000-05-16,0.135210047066849
"BR","flow_cms",2000-05-17,0.1019406492
"WM","flow_cms",2000-05-17,0.139073191268759
"BR","flow_cms",2000-05-18,0.1160990727
"WM","flow_cms",2000-05-18,0.158388912278308
"BR","flow_cms",2000-05-19,5.408517777
"WM","flow_cms",2000-05-19,7.37860542564802
"BR","flow_cms",2000-05-20,1.104357033
"WM","flow_cms",2000-05-20,1.50662623874488
"BR","flow_cms",2000-05-21,0.56633694
"WM","flow_cms",2000-05-21,0.772628840381992
"BR","flow_cms",2000-05-22,0.368119011
"WM","flow_cms",2000-05-22,0.502208746248295
"BR","flow_cms",2000-05-23,0.28316847
"WM","flow_cms",2000-05-23,0.386314420190996
"BR","flow_cms",2000-05-24,0.2661783618
"WM","flow_cms",2000-05-24,0.363135554979536
"BR","flow_cms",2000-05-25,0.1755644514
"WM","flow_cms",2000-05-25,0.239514940518417
"BR","flow_cms",2000-05-26,0.1217624421
"WM","flow_cms",2000-05-26,0.166115200682128
"BR","flow_cms",2000-05-27,0.1160990727
"WM","flow_cms",2000-05-27,0.158388912278308
"BR","flow_cms",2000-05-28,3.766140651
"WM","flow_cms",2000-05-28,5.13798178854025
"BR","flow_cms",2000-05-29,2.350298301
"WM","flow_cms",2000-05-29,3.20640968758527
"BR","flow_cms",2000-05-30,0.707921175
"WM","flow_cms",2000-05-30,0.96578605047749
"BR","flow_cms",2000-05-31,0.396435858
"WM","flow_cms",2000-05-31,0.540840188267394
"BR","flow_cms",2000-06-01,0.2690100465
"WM","flow_cms",2000-06-01,0.366998699181446
"BR","flow_cms",2000-06-02,0.1953862443
"WM","flow_cms",2000-06-02,0.266556949931787
"BR","flow_cms",2000-06-03,0.1274258115
"WM","flow_cms",2000-06-03,0.173841489085948
"BR","flow_cms",2000-06-04,0.1076040186
"WM","flow_cms",2000-06-04,0.146799479672578
"BR","flow_cms",2000-06-05,0.679604328
"WM","flow_cms",2000-06-05,0.92715460845839
"BR","flow_cms",2000-06-06,6.456241116
"WM","flow_cms",2000-06-06,8.80796878035471
"BR","flow_cms",2000-06-07,0.792871716
"WM","flow_cms",2000-06-07,1.08168037653479
"BR","flow_cms",2000-06-08,0.453069552
"WM","flow_cms",2000-06-08,0.618103072305593
"BR","flow_cms",2000-06-09,0.2605149924
"WM","flow_cms",2000-06-09,0.355409266575716
"BR","flow_cms",2000-06-10,0.1642377126
"WM","flow_cms",2000-06-10,0.224062363710778
"BR","flow_cms",2000-06-11,0.113267388
"WM","flow_cms",2000-06-11,0.154525768076398
"BR","flow_cms",2000-06-12,0.424752705
"WM","flow_cms",2000-06-12,0.579471630286494
"BR","flow_cms",2000-06-13,0.679604328
"WM","flow_cms",2000-06-13,0.92715460845839
"BR","flow_cms",2000-06-14,0.453069552
"WM","flow_cms",2000-06-14,0.618103072305593
"BR","flow_cms",2000-06-15,0.877822257
"WM","flow_cms",2000-06-15,1.19757470259209
"BR","flow_cms",2000-06-16,3.369704793
"WM","flow_cms",2000-06-16,4.59714160027285
"BR","flow_cms",2000-06-17,3.058219476
